id,name,ownerid,age,livesleft,description
648,Precious,743653,3,3,lovely
649,Simba,725405,24,1,sweetheart
650,Willow,636811,7,4,beautiful
651,Leo,641369,9,1,cute
652,Sassy,608682,23,6,lovely
653,Mia,665567,11,9,fat
654,Garfield,571700,12,1,fat
655,Snuggles,486822,21,2,amazing
656,Tinkerbell,604546,16,3,asshole
657,Jack,736187,7,8,amazing
658,Bella,615970,10,4,beautiful
659,Nala,635581,21,2,work of art
660,Snowball,553747,18,6,sweetheart
661,Garfield,705868,3,4,sweetheart
662,Lilly,500515,2,9,fat
663,Rocky,580612,12,6,lovely
664,Sheba,668481,16,7,amazing
665,Lucy,535532,14,8,fluffy
666,Sadie,473536,8,3,sweetheart
667,Loki,483711,5,7,lovely
668,Kitty,628712,17,9,fat
669,Gracie,479622,3,1,cute
670,Patches,602299,10,1,lovely
671,Midnight,474070,11,9,sweetheart
672,Charlie,627596,12,1,asshole
673,Sasha,490175,22,2,fat
674,Zoey,740592,16,7,beautiful
675,Fluffy,717194,12,5,beautiful
676,Smokey,519108,16,9,lovely
677,Mittens,651735,9,1,sweetheart
678,Mimi,576709,10,7,the best
679,Patches,720680,10,2,work of art
680,Oreo,623062,8,9,sweetheart
681,Sam,637310,12,7,cute
682,Scooter,605694,5,5,beautiful
683,Boo,684025,9,6,amazing
684,Coco,660499,12,8,fluffy
685,Abby,611276,16,6,the best
686,Zoe,604271,12,4,fat
687,Buster,674433,24,5,lovely
688,Jasper,511152,5,8,fluffy
689,Sugar,605567,5,2,lovely
690,Sammy,471850,12,3,lovely
691,Leo,682339,19,2,fat
692,Trouble,483464,14,3,the best
693,Bandit,585803,6,4,asshole
694,Simon,747379,20,7,asshole
695,Sassy,649065,5,9,beautiful
696,Whiskers,606406,5,7,lovely
697,Jasmine,679649,4,5,lovely
698,Misty,730173,11,4,fluffy
699,Cuddles,549459,18,7,asshole
700,Buddy,594882,15,2,asshole
701,Rascal,509798,23,2,the best
702,Jack,718438,19,3,work of art
703,Felix,652907,17,8,cute
704,Simon,516971,13,8,the best
705,Cookie,728499,24,2,fat
706,Mimi,585621,8,7,fat
707,Coco,485440,14,2,lovely
708,Sammy,588686,17,9,work of art
709,George,607120,16,9,amazing
710,Princess,690592,16,2,work of art
711,Oliver,647673,18,7,amazing
712,Sammy,577557,11,3,fluffy
713,Sasha,517239,22,4,beautiful
714,Lilly,616899,20,3,beautiful
715,Zoe,556124,11,9,fluffy
716,Oliver,682502,1,4,work of art
717,Garfield,594905,14,9,fluffy
718,Scooter,495926,6,7,amazing
719,Peanut,701146,16,6,work of art
720,Mittens,554516,23,7,work of art
721,Toby,733742,4,8,beautiful
722,Fluffy,561853,25,1,asshole
723,Peanut,682972,21,9,work of art
724,Lilly,677017,10,7,work of art
725,Sam,483806,10,5,fluffy
726,Jasper,511383,15,2,asshole
727,Simon,509061,14,8,amazing
728,Zoey,662951,7,3,sweetheart
729,Cuddles,510143,2,1,the best
730,Chester,516091,2,7,cute
731,Tinkerbell,616167,23,1,lovely
732,Sadie,643377,4,2,asshole
733,Cali,537840,23,7,asshole
734,Callie,714683,7,6,amazing
735,Angel,703946,5,1,sweetheart
736,Bob,683501,15,5,the best
737,Tinkerbell,563620,17,1,fluffy
738,Bandit,502899,5,2,fat
739,Bear,532593,17,1,the best
740,Kiki,538788,20,1,lovely
741,Toby,686456,1,3,lovely
742,Boo,633204,24,3,work of art
743,Bubba,677479,8,4,lovely
744,Sasha,594932,3,5,amazing
745,Nala,536491,5,4,amazing
746,Snowball,655605,25,2,lovely
747,Ginger,607755,11,8,work of art
748,Snickers,498420,6,2,beautiful
749,Buster,502286,8,5,work of art
750,Miss kitty,534299,5,7,cute
751,Shadow,507784,12,6,cute
752,Spooky,712564,10,1,cute
753,Midnight,473787,7,2,beautiful
754,Sasha,675663,21,8,lovely
755,Chloe,593183,24,8,fat
756,Sugar,468240,2,6,amazing
757,Felix,526016,2,4,fluffy
758,Lilly,631546,19,7,the best
759,Bear,703857,10,9,lovely
760,Callie,570218,3,8,asshole
761,Daisy,670415,3,6,sweetheart
762,Buddy,492489,21,7,work of art
763,Snickers,529100,25,9,the best
764,Pepper,640807,6,6,lovely
765,Gizmo,641603,10,8,amazing
766,Salem,508248,5,1,sweetheart
767,Misty,478086,7,1,the best
768,Shadow,610885,8,1,the best
769,Peanut,734437,23,8,work of art
770,Snickers,478424,7,8,asshole
771,Ginger,662928,18,9,asshole
772,Cali,550311,18,6,the best
773,Gracie,545757,2,7,beautiful
774,Daisy,621704,2,5,asshole
775,Chester,635647,24,5,the best
776,Misty,592660,19,3,cute
777,Casper,536431,25,2,amazing
778,Lucy,510750,8,7,cute
779,Chester,495922,3,9,amazing
780,Harley,656330,14,3,fat
781,Snowball,480370,6,5,cute
782,Tiger,675818,13,4,the best
783,Casper,663854,6,9,sweetheart
784,Boo,618474,12,7,fluffy
785,Tiger,478999,19,2,sweetheart
